qid,question,predicted_answer,gt_answer
0,Are there any side effects of using compound Malathion?,"Conjunctivitis, Sensitisation, Chemical burn, Chemical injury, Burns second degree","Conjunctivitis, Sensitisation, Chemical burn, Burns second degree, Chemical injury"
1,Are there any side effects of using compound Zinc?,"Yes, Zinc can cause side effects such as Pancreatitis, Gastric irritation, and Epigastric discomfort.","Pancreatitis, Gastric irritation, Epigastric discomfort"
2,Are there any side effects of using compound Benzyl Benzoate?,"The side effects of using Benzyl Benzoate include Stinging, Pain, Skin sensitisation, Burning sensation, and Skin irritation.","Stinging, Pain, Skin sensitisation, Burning sensation, Skin irritation"
3,Can you list the side effects of Mepyramine?,Skin sensitisation,Skin sensitisation
4,what are the side effects of compound Acetic acid?,NONE,"Stinging, Pain, Acidosis, Hypernatraemia, Haematuria"
5,what are the side effects of compound Pyridoxine?,"Somnolence, Nausea, Headache, Paraesthesia, Neuropathy peripheral","Somnolence, Nausea, Headache, Paraesthesia, Neuropathy peripheral"
6,Can you list the side effects of Hexachlorophene?,"Photosensitivity, Photosensitivity reaction, Erythema, Dermatitis, Redness","Photosensitivity, Photosensitivity reaction, Erythema, Dermatitis, Redness"
7,Could you tell me the side effects of the compound Triclosan?,Hypersensitivity,Hypersensitivity
8,Could you tell me the side effects of the compound Vitamin A?,No side effects are listed for Vitamin A in the provided graph data.,"Anaphylactic shock, Hypersensitivity"
9,Can you list the side effects of Crotamiton?,NONE,"Pruritus, Rash, Dermatitis"
10,What are the symptoms of the disease IgA glomerulonephritis?,"Purpura, Thrombocytopenic, Idiopathic, Purpura, Schoenlein-Henoch, Proteinuria, Hypergammaglobulinemia","Purpura, Thrombocytopenic, Idiopathic, Purpura, Schoenlein-Henoch, Proteinuria, Hypergammaglobulinemia"
11,What are the symptoms of the disease focal segmental glomerulosclerosis?,No symptoms are listed for focal segmental glomerulosclerosis in the provided graph data.,"Albuminuria, Kearns-Sayre Syndrome, Proteinuria"
12,Tell me about the symptoms of azoospermia.,NONE,Overweight
13,What symptoms should I look for if I have bile duct cancer?,NONE,"Colic, Jaundice, Obstructive, Pruritus, Jaundice, Abdominal Pain"
14,What symptoms should I look for if I have membranous glomerulonephritis?,"Proteinuria, Edema, Monoclonal Gammopathy of Undetermined Significance","Proteinuria, Edema, Monoclonal Gammopathy of Undetermined Significance"
